Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
Dash and Sons Innovations,Automobiles,"Karnataka, India",$1M to $10M,Closed,2020,Seed,Automotive,2,"Christopher Ahuja, Lila Arya",11-50,3,M&A,$0,Medium,Low,5770,-11.615513568223577,8994.495150531548,1,1734
"Borde, Bhatia and Kala Technologies",Metals and Mining,"Telangana, India",$1B to $10B,Active,2024,Seed,Mining,0,—,501-1000,2,—,$50M to $100M,Medium,High,1795398,1911.7486623586854,4799.0460818079255,2,817
Dewan PLC Technologies,Textiles,"Goa, India",Less than $1M,Active,2023,Seed,Textiles,5,"Abdul Radhakrishnan, Tanveer Memon, Jyoti Lala, Hiral Grewal, Anamika Walia",501-1000,6,M&A,$500K to $1M,High,Low,1091612,920.3908627172142,7710.556774826597,8,2445
"Agarwal, Jhaveri and Kumer Pvt Ltd",Roads,"Nagaland, India",$1B to $10B,Active,2020,Series B,Infrastructure,3,"Qadim Doshi, Saanvi Chaudry, Zayan Konda",251-500,5,Early Stage Venture,$50M to $100M,Medium,—,1562969,270.1088933199826,7948.098367611854,5,137
"Chaudhry, Dhawan and Ratta Technologies",FMCG,"Arunachal Pradesh, India",$10B+,Active,2022,Series B,Consumer Goods,0,—,101-250,6,Early Stage Venture,$100M to $500M,—,Low,478600,1180.5082360927995,3799.804558212512,1,1857
Issac PLC Solutions,E-Commerce,"Andhra Pradesh, India",$50M to $100M,Active,2018,Series C,Commerce,1,Hemangini Andra,51-100,7,Seed,$1M to $5M,Medium,—,1023459,1333.1717447203532,4342.146654901694,8,447
Sandal Ltd Innovations,Cement,"Madhya Pradesh, India",Less than $1M,Closed,2018,—,Construction,5,"Janya Parmer, Abhimanyu Dani, Varsha Rastogi, Aarush Kota, Matthew Pillai",1-10,2,M&A,—,—,Low,1436,-75.42967612007737,3250.3244804566316,2,801
Devan Inc Pvt Ltd,Infrastructure,"Uttar Pradesh, India",Less than $1M,Active,2017,Seed,Infrastructure,4,"Udyati Pandit, Forum Srinivasan, Waida Murty, Yauvani Swamy",1001-5000,4,M&A,$1M to $5M,Growing,High,1442773,1692.9098620454702,6504.753453191118,9,989
Deol LLC Labs,Telecommunications,"Jammu and Kashmir, India",$10B+,Active,2018,Seed,Telecommunications,0,—,501-1000,4,Growing,$5M to $10M,High,High,190156,1470.30015378163,9575.695512187292,9,932
"Pall, Ratta and Swaminathan Pvt Ltd",Power,"Uttarakhand, India",$10B+,Active,2023,IPO,Energy,4,"Chatresh Palla, Vamakshi Bains, Urishilla Babu, Gayathri Pal",11-50,1,Early Stage Venture,$100K to $500K,Medium,—,1917723,216.9403258197989,6365.505102847537,1,25
Chaudry Inc Technologies,Electronics System Design & Manufacturing,"Goa, India",$1B to $10B,Active,2019,—,Electronics,3,"Christopher Dhillon, Damini Joshi, Radhika Gola",501-1000,6,M&A,$50M to $100M,High,High,231963,-78.478686684662,6920.8480702375755,3,1499
Apte Group Labs,Healthcare,"West Bengal, India",$10M to $50M,Active,2017,Series B,Healthcare,2,"Tanay Mannan, Yadavi Goyal",101-250,5,M&A,$500K to $1M,High,Low,605657,1094.6656203093532,299.66035646088824,6,1985
Borah-Solanki Technologies,Steel,"Tripura, India",$1M to $10M,Active,2023,Series C,Manufacturing,4,"Yashawini Sahota, Bhavani Reddy, Udarsh Halder, Anya Singh",101-250,4,Early Stage Venture,$10M to $50M,Medium,Low,1779360,1849.4885630941485,7351.891045007507,9,350
"Gokhale, Chacko and Chana Technologies",Electronics System Design & Manufacturing,"Punjab, India",Less than $1M,Active,2023,IPO,Electronics,1,Charita Varughese,11-50,4,Growing,$1M to $5M,High,Medium,1504744,1277.7472249967916,5871.09407378837,2,324
Tandon PLC Technologies,Ayush,"Mizoram, India",$1B to $10B,Active,2021,—,Healthcare,1,Umang Mann,1-10,0,—,$1M to $5M,Medium,Medium,1035512,1720.0198638758886,9402.821146795393,7,272
Sathe Inc Pvt Ltd,Manufacturing,"Gujarat, India",Less than $1M,Active,2024,—,Manufacturing,1,Kamala Rajan,501-1000,1,Early Stage Venture,$100M to $500M,—,Low,815848,861.2939457727819,4052.5591324114603,3,2051
Pant-Thaker Pvt Ltd,Media and Entertainment,"Assam, India",$50M to $100M,Active,2018,Series C,Media,0,—,501-1000,6,Growing,$10M to $50M,High,High,160501,1070.159858156801,9226.58106939888,6,500
Sarma and Sons Innovations,Agriculture and Allied Industries,"Jammu and Kashmir, India",Less than $1M,Closed,2020,Seed,Agriculture,5,"Tanay Chauhan, Farhan Kota, Orinder Yohannan, David Sengupta, Rayaan Kala",1-10,1,M&A,$0,Growing,Low,3771,-53.45739918791279,5957.967932222631,6,2035
Wali LLC Innovations,Agriculture and Allied Industries,"Karnataka, India",Less than $1M,Closed,2020,Series B,Agriculture,4,"Unnati Bhardwaj, Tamanna Banerjee, Pallavi Dass, Frado Chaudhary",11-50,1,Growing,—,Medium,Low,9765,-80.7042779292787,2308.4474979911474,7,1333
"Anand, Chopra and Murthy Pvt Ltd",Electronics System Design & Manufacturing,"Jharkhand, India",$10M to $50M,Closed,2022,Series A,Electronics,4,"Aachal Bhasin, Barkha More, Baghyawati Roy, Chandresh Sane",11-50,3,M&A,—,—,Medium,36141,-50.69990463545436,8301.590222064444,5,1789
Sem-Kala Labs,Power,"Punjab, India",$1M to $10M,Closed,2019,Series C,Energy,1,Ishwar Chopra,11-50,3,Early Stage Venture,$100K to $500K,Medium,Low,9037,-58.885280275725194,6646.882749951383,2,499
Naik-Oak Technologies,Science and Technology,"Assam, India",Less than $1M,Closed,2018,—,Technology,1,Vedika Chopra,11-50,0,—,$0,High,Low,7095,-6.009346180998875,8736.077291392405,1,1211
Chadha-Hayer Technologies,Medical Devices,"Bihar, India",Less than $1M,Closed,2022,IPO,Healthcare,3,"Gaurangi Savant, Pranav Chacko, Tejas Bhatt",11-50,2,Growing,$0,—,Low,8203,-30.361211296688836,151.82222433716808,5,488
Ghose Ltd Technologies,Tourism and Hospitality,"Gujarat, India",$1M to $10M,Closed,2021,Series A,Hospitality,3,"Harish Tiwari, Harish Chanda, Anthony Krishnan",1-10,1,Growing,$100K to $500K,Medium,Low,438,-81.39196727250865,6996.3330740119,0,1526
Panchal-Tata Pvt Ltd,Manufacturing,"Himachal Pradesh, India",$1M to $10M,Active,2019,Series A,Manufacturing,3,"Xavier Bath, Alexander Chokshi, Gauri Badami",1001-5000,4,M&A,$5M to $10M,—,Low,690713,1069.9936823460525,6370.341400565849,9,1263
Viswanathan LLC Technologies,Ports,"Uttarakhand, India",Less than $1M,Closed,2020,Series C,Transportation,0,—,11-50,3,—,$100K to $500K,Medium,Low,7656,-45.17441552194485,3742.619915621665,5,1813
Kaur PLC Solutions,Defence Manufacturing,"Arunachal Pradesh, India",$1M to $10M,Closed,2023,Series B,Defence,3,"Madhav Srinivas, Anita Mohan, Anvi Raju",1-10,3,Growing,$0,High,Low,3074,-52.31672959068386,9228.919614095998,5,2351
"Vyas, Pal and Minhas Innovations",Railways,"Chhattisgarh, India",$1M to $10M,Active,2022,Series A,Transportation,5,"Faris Mannan, Manya Dass, Deepa Manda, Anusha Tandon, Max Rajan",501-1000,6,—,$1M to $5M,High,—,1111518,1264.074394065521,2013.392319765905,5,1432
Mangal-Lata Solutions,Healthcare,"Mizoram, India",$1M to $10M,Active,2017,Seed,Healthcare,1,Hiral Biswas,501-1000,2,M&A,$1M to $5M,Medium,High,207161,418.2475082703644,5712.2536425294475,2,1188
"Dubey, Chandra and Parsa Solutions",Insurance,"Mizoram, India",$1M to $10M,Active,2020,Series C,Financial Services,1,Zinal Bhatia,1-10,7,M&A,$1M to $5M,High,Medium,273625,146.3277467829991,687.8727361885194,2,2363
Bala-Mitter Innovations,Banking,"Chhattisgarh, India",Less than $1M,Active,2022,Series B,Financial Services,0,—,11-50,5,Seed,$1M to $5M,—,Low,778710,272.5410628286096,4833.314410027215,3,388
"Brahmbhatt, Kala and Sinha Technologies",Oil and Gas,"Himachal Pradesh, India",Less than $1M,Active,2021,Series A,Energy,1,Gautami Ratta,251-500,5,—,$1M to $5M,Medium,Medium,459556,1550.5987779297861,8620.877229939722,1,165
Sarma Ltd Technologies,Financial Services,"Punjab, India",$10B+,Active,2022,—,Financial Services,5,"Advaith Mann, Saumya Johal, Aarnav Edwin, Leena Narayan, Falguni Sama",501-1000,0,—,$1M to $5M,Growing,High,77286,1424.9323048560814,9596.84997131677,4,207
Hayer Inc Pvt Ltd,Steel,"Chhattisgarh, India",$100M to $500M,Active,2017,Seed,Manufacturing,0,—,501-1000,4,Growing,$1M to $5M,Growing,Low,439541,1204.744643884804,1546.7195682831218,3,749
"Trivedi, Nigam and Bhatti Innovations",Financial Services,"Uttar Pradesh, India",$50M to $100M,Active,2024,Series C,Financial Services,5,"Chasmum Sood, Nikita Sahota, Upkaar Kuruvilla, Amol Pillay, Simon Palla",11-50,6,Growing,$100M to $500M,Growing,Low,1523959,279.6458664606619,4825.871575748594,7,1318
Chand-Amble Solutions,Metals and Mining,"Haryana, India",$1B to $10B,Active,2021,—,Mining,5,"Daniel Wadhwa, Devika Lad, Tanish Kunda, Anvi Sarkar, Bhavini Vig",1001-5000,1,Growing,$100M to $500M,High,—,846083,1045.4773243360178,3910.3711984142046,5,1018
"Johal, Amble and Bhatnagar Labs",Engineering and Capital Goods,"Odisha, India",$1M to $10M,Closed,2022,Series A,Engineering,2,"Garima Behl, Osha Gara",11-50,1,Early Stage Venture,$0,Growing,Low,8283,-57.12931350808649,2769.6130072085225,9,1228
Gokhale-Comar Innovations,Biotechnology,"Uttarakhand, India",$10B+,Active,2023,Seed,Biotechnology,2,"Warhi Singh, Aryan Deep",501-1000,1,Seed,$0,High,Medium,1246766,515.117982906928,961.1168826310502,4,1709
"Gandhi, Rai and Gara Solutions",Oil and Gas,"Nagaland, India",$1B to $10B,Active,2018,Series A,Energy,0,—,51-100,3,M&A,—,Medium,Medium,734226,1930.736471819789,5009.816626700317,4,564
"Bhavsar, Kakar and Gopal Labs",FMCG,"Punjab, India",$10B+,Active,2018,Series A,Consumer Goods,3,"Gaurang Palla, Zashil Saha, Chaitaly Mangat",1-10,6,Early Stage Venture,$100K to $500K,Growing,—,591673,346.2320139568764,587.8552264994295,4,1116
Kohli-Bal Pvt Ltd,Manufacturing,"Goa, India",$1M to $10M,Closed,2018,Series C,Manufacturing,1,Ishanvi Bhattacharyya,11-50,3,M&A,$0,High,Low,4551,-10.485597336162769,3574.7409527178675,4,950
Jaggi-Pai Pvt Ltd,Auto Components,"Sikkim, India",$50M to $100M,Active,2022,—,Automotive,2,"Manan Wable, Yashvi Munshi",501-1000,0,—,$50M to $100M,—,High,1311434,1355.599333837626,4066.251753069143,6,2323
Bassi and Sons Innovations,Railways,"Maharashtra, India",Less than $1M,Active,2017,Series B,Transportation,3,"Zarna Varughese, Alexander Chokshi, Yadavi Devan",1001-5000,6,Growing,$1M to $5M,High,Low,985472,-8.520552223920134,4631.540918425653,6,143
"Chopra, Anand and Suresh Technologies",Retail,"Odisha, India",$10M to $50M,Active,2020,—,Commerce,3,"Nicholas Kata, Yahvi Shroff, Avni Tandon",1001-5000,0,—,$100K to $500K,Growing,High,381714,1485.0099209504044,3639.5280871798536,5,920
"Mukherjee, Din and Date Labs",Manufacturing,"Arunachal Pradesh, India",$1B to $10B,Active,2024,Series B,Manufacturing,1,Ojasvi Sampath,51-100,7,Growing,—,—,Low,895672,1117.6985525140738,4558.620130046443,10,1538
Raman Group Solutions,Automobiles,"Jharkhand, India",Less than $1M,Closed,2018,Seed,Automotive,2,"Jairaj Bhakta, Joshua Bhargava",1-10,3,Early Stage Venture,—,High,Low,5398,-70.10273842613273,9068.199307572755,3,1441
Banerjee Ltd Technologies,Roads,"Himachal Pradesh, India",$100M to $500M,Active,2019,Series C,Infrastructure,2,"Hemani Murty, Ikshita Sidhu",251-500,1,M&A,$1M to $5M,—,High,339506,-38.04643724498202,7461.130826553178,8,1718
"Shah, Lad and Ramachandran Labs",Healthcare,"Bihar, India",$50M to $100M,Active,2018,IPO,Healthcare,3,"Mohini Puri, Fariq Koshy, Lakshmi Saraf",11-50,6,Growing,$1M to $5M,Growing,—,716626,94.17317853306147,9618.91145823365,5,2183
"Kalla, Kota and Badami Labs",Media and Entertainment,"Tripura, India",$10B+,Active,2020,—,Media,0,—,51-100,7,—,$500K to $1M,Growing,Medium,1921013,454.5886093078648,878.696472454652,0,1350
Goyal-Ramakrishnan Innovations,Ayush,"Jharkhand, India",$1M to $10M,Closed,2017,IPO,Healthcare,2,"Ati Chad, Nathaniel Radhakrishnan",1-10,1,Seed,—,High,Low,9449,-95.35287617207302,5059.1579244983595,4,656
"Din, Seth and Sarkar Technologies",Medical Devices,"Uttarakhand, India",$50M to $100M,Active,2023,Series A,Healthcare,2,"Ronith Ramaswamy, Bhavani Tandon",101-250,1,—,$1M to $5M,—,Low,1384994,182.18068186338309,2336.8136897019745,7,1977
"Mukherjee, Bhardwaj and Raj Labs",Medical Devices,"Odisha, India",$50M to $100M,Active,2019,—,Healthcare,4,"Dhriti Mahal, Udarsh Biswas, Aayush Chhabra, Indira Suresh",501-1000,1,—,$1M to $5M,Medium,—,1888766,1311.739812488509,4844.099970878727,6,1500
"Kalita, Gera and Kapoor Technologies",Manufacturing,"Tripura, India",$1M to $10M,Closed,2018,Series B,Manufacturing,3,"Upadhriti Lad, Arin Memon, Sanaya Raval",11-50,2,Seed,$0,—,Low,2855,-31.128908020019736,1943.7627010926167,3,2052
Choudhary Group Technologies,Insurance,"Bihar, India",$1B to $10B,Active,2022,Series A,Financial Services,5,"Kabir Rege, Max Ramanathan, Wazir Oak, Ucchal Shanker, Girindra Bhalla",101-250,2,—,$5M to $10M,Growing,Low,438357,1827.8092044538957,690.3219727701071,4,680
Toor-Narasimhan Pvt Ltd,MSME,"West Bengal, India",$100M to $500M,Active,2017,Series B,Small Business,2,"Rachita Sarin, Pushti Mann",1-10,5,Early Stage Venture,—,Growing,High,727500,1609.8058827975462,9818.125400290724,1,1494
"Pandey, Goda and Chandra Technologies",Railways,"Gujarat, India",Less than $1M,Closed,2017,Series B,Transportation,4,"Chaman Nagar, Mahika Nagy, Kamala Iyer, Ishanvi Raghavan",11-50,1,Seed,$0,High,Low,8556,-34.00701004693177,1382.640020441906,4,1445
Nanda and Sons Solutions,Gems and Jewellery,"Madhya Pradesh, India",Less than $1M,Closed,2019,IPO,Luxury Goods,5,"Tripti Goswami, Radha Mishra, Sai Shroff, Saanvi Pingle, Janya Ratti",11-50,2,Growing,$100K to $500K,Growing,Low,8684,-12.40279245930006,5267.653589873057,8,984
"Sankaran, Kulkarni and Sani Innovations",Medical Devices,"Assam, India",$10B+,Active,2023,Series C,Healthcare,1,Dominic Patel,251-500,4,Early Stage Venture,$100M to $500M,—,Low,387869,856.682877647613,3044.559543625802,5,1659
"Saran, Bhasin and Maharaj Pvt Ltd",Electronics System Design & Manufacturing,"Bihar, India",$1M to $10M,Closed,2021,Series B,Electronics,0,—,11-50,2,Early Stage Venture,—,Medium,Medium,47320,-22.122549040215006,8523.102997308662,3,1631
Rana Group Innovations,Telecommunications,"Arunachal Pradesh, India",$10M to $50M,Closed,2023,—,Telecommunications,1,Varenya Srinivas,11-50,0,—,$0,Medium,—,25280,-48.59920281211526,3974.2171984593665,10,314
Tank and Sons Solutions,Automobiles,"Chhattisgarh, India",$1M to $10M,Active,2024,Series B,Automotive,3,"Bahadurjit Sundaram, Warhi Prashad, Oliver Chand",501-1000,2,Seed,$1M to $5M,High,Low,881758,-66.09610213765734,24.409193566347156,9,99
"Mittal, Bhatt and Naidu Solutions",Science and Technology,"Bihar, India",$10M to $50M,Active,2022,Series A,Technology,5,"Divya Nadig, Tristan Nazareth, Naksh Jain, Luke Rege, Wyatt De",501-1000,1,Early Stage Venture,—,—,Medium,1067109,1987.655863804779,3766.6416325629593,8,1023
Balay-Pandit Labs,Paper & Packaging,"West Bengal, India",$1M to $10M,Active,2021,IPO,Packaging,5,"Chakradev Pal, Aishani Parikh, Pushti Deo, Yuvraj Naidu, Falak Lalla",1-10,5,Seed,$500K to $1M,High,Medium,1872646,354.0985303497264,6324.821488359456,2,2010
"Kari, Date and Lad Solutions",Biotechnology,"Meghalaya, India",$1B to $10B,Active,2024,—,Biotechnology,4,"Alexander Sachar, Brijesh Sehgal, Yatan Palla, Rachit Kunda",51-100,0,—,—,Medium,Low,202820,1676.7635404300217,9872.27872643282,3,909
"Rattan, Choudhury and Ram Labs",Science and Technology,"Madhya Pradesh, India",Less than $1M,Active,2020,Seed,Technology,1,Geetika Parekh,51-100,3,Early Stage Venture,—,Medium,Low,514516,1521.5429227127192,9947.51410860706,4,1758
"Chana, Jayaraman and Shukla Innovations",Media and Entertainment,"Bihar, India",$1M to $10M,Closed,2021,Series C,Media,3,"Eshana Sodhi, Hitesh Panchal, Arya Zacharia",1-10,3,Growing,$100K to $500K,Medium,Low,8906,-95.32229937811569,2646.3463655533856,7,1794
"Loyal, Mani and Doctor Technologies",Science and Technology,"Haryana, India",$50M to $100M,Active,2023,Series A,Technology,4,"Madhavi Bassi, Shravya Basak, Jackson Barman, Ojasvi Master",1-10,3,Seed,$500K to $1M,—,Medium,129996,126.0870980369331,7900.14766629226,5,1452
Sen LLC Technologies,Education and Training,"West Bengal, India",$1M to $10M,Closed,2020,Series B,Education,4,"Dayita Arya, Faqid Munshi, Reva Boase, Henry Lala",11-50,1,M&A,$0,High,—,46763,-88.37900679635204,7027.973209455503,9,428
Parmar Ltd Solutions,Metals and Mining,"Jharkhand, India",Less than $1M,Active,2023,Series A,Mining,1,Bachittar Bhasin,251-500,2,—,$50M to $100M,High,Low,91982,1541.0355490230886,6836.495419208335,3,658
Ram-Lalla Innovations,Media and Entertainment,"Arunachal Pradesh, India",$100M to $500M,Active,2018,Series B,Media,3,"Tarak Kapadia, Omaja Divan, Yashodhara Sawhney",1001-5000,5,M&A,—,High,Low,639188,827.3566450283306,4696.756672960888,1,303
Toor PLC Technologies,Steel,"Nagaland, India",$10M to $50M,Active,2021,Series C,Manufacturing,2,"Oliver Som, Dayita Bandi",251-500,6,Growing,—,Growing,High,1293965,1654.1045985965598,4345.590833442284,8,2326
Pal-Kuruvilla Technologies,Steel,"Uttar Pradesh, India",$50M to $100M,Active,2021,IPO,Manufacturing,3,"Janani Saraf, Maanav Talwar, Widisha Gade",101-250,4,Seed,$1M to $5M,—,High,1306129,1524.2504357179762,100.11865218524159,3,1849
Tripathi-Bandi Technologies,Metals and Mining,"Punjab, India",$1M to $10M,Closed,2023,IPO,Mining,0,—,51-100,1,Early Stage Venture,$0,High,—,30080,43.9084049865117,6924.666078082823,3,372
Agarwal-Deshpande Technologies,Food Processing,"West Bengal, India",$10M to $50M,Active,2019,Series C,Food and Beverage,5,"Urmi Kapur, Raagini Soni, Pushti Krishnan, Praneel Das, Vrinda Lala",11-50,1,M&A,—,—,Medium,478264,1148.087981396434,8490.529756888893,2,617
Nagy-Sharma Solutions,Media and Entertainment,"Uttarakhand, India",Less than $1M,Active,2021,Seed,Media,0,—,51-100,3,Early Stage Venture,$10M to $50M,—,High,1817759,377.56824060856,5978.467268438264,4,705
"Iyer, Sule and Mitra Labs",Consumer Durables,"Karnataka, India",$10M to $50M,Active,2018,Series B,Consumer Goods,5,"Aachal Sahni, Yashawini Oak, Saumya Bains, Naveen Sarna, Yashoda Mody",51-100,3,Growing,—,High,Medium,941275,1357.9407235792612,3212.5764479341988,6,2019
"Sinha, Barman and Sahni Pvt Ltd",Engineering and Capital Goods,"Uttar Pradesh, India",$1M to $10M,Closed,2021,Series B,Engineering,1,Krishna Tank,1-10,2,Seed,$0,—,Low,9299,-45.89884937730885,4218.395298592558,7,2165
"Bhatti, Dhingra and Gopal Solutions",Chemicals,"Punjab, India",$10M to $50M,Active,2020,Seed,Chemicals,2,"Dakshesh Walla, Aarini Sankaran",1-10,2,—,$100K to $500K,High,—,889244,1023.3597825510988,4493.221636008395,4,249
Sama-Dua Technologies,Infrastructure,"Goa, India",$1M to $10M,Closed,2020,Series C,Infrastructure,4,"Sneha Mital, Faqid Prasad, Chaitanya Dewan, Arin Roy",1-10,1,Seed,$100K to $500K,—,Low,9912,-42.77440359635564,2008.0147948231997,10,1992
"Pandya, Mital and Amble Innovations",Cement,"Uttar Pradesh, India",Less than $1M,Closed,2024,Series C,Construction,3,"Darika Murthy, Pushti Barad, Abhimanyu Varkey",11-50,1,Seed,$100K to $500K,Growing,Low,2234,-74.56729410442458,8574.31745767875,6,776
Tiwari Group Labs,Power,"Punjab, India",$1B to $10B,Active,2024,—,Energy,2,"Lucky Maharaj, Wazir Kalla",1-10,0,—,$10M to $50M,Medium,Medium,610848,348.59100008797054,4672.287264642665,1,1458
"Chowdhury, Roy and Upadhyay Solutions",Telecommunications,"Jammu and Kashmir, India",Less than $1M,Active,2024,—,Telecommunications,2,"Alexander Mann, Balvan Shah",101-250,6,Growing,$10M to $50M,—,Low,1538627,1781.4828683907394,1897.2998444336154,4,1055
Dara-Ghose Pvt Ltd,Automobiles,"Rajasthan, India",$1M to $10M,Closed,2019,—,Automotive,3,"Henry Narang, Michael Hans, Suhani Bora",1-10,0,—,$100K to $500K,High,Low,7198,-84.9133437572866,7192.731711733741,2,158
Kara-Jani Innovations,Electric Vehicle,"Goa, India",$1B to $10B,Active,2022,—,Automotive,0,—,51-100,3,M&A,—,Growing,—,346306,237.38015516105128,5640.996037658517,8,837
Mitter-Srinivas Labs,Engineering and Capital Goods,"West Bengal, India",$1B to $10B,Active,2023,Seed,Engineering,4,"Charles Jaggi, Mugdha Naidu, Yutika Lal, Hemani Dugar",1-10,7,M&A,$100M to $500M,—,—,1957092,1211.0443007380009,7809.853279605661,5,1434
"Ramanathan, Narang and Kashyap Innovations",Gems and Jewellery,"Maharashtra, India",$100M to $500M,Active,2018,Seed,Luxury Goods,0,—,51-100,5,Growing,$0,—,Medium,527136,1959.370463408216,5578.123304705927,5,596
"Rajan, Mitter and Puri Labs",Power,"Meghalaya, India",$1M to $10M,Active,2021,IPO,Energy,2,"Dalaja Ganesan, Maanav Mishra",11-50,3,Early Stage Venture,$500K to $1M,—,Medium,314492,425.396753543963,3319.5243607266475,3,766
